ID,Gas1,Gas2,Gas3,Gas4,Gas5,Gas6,Tired1,Tired2,Tired3,Tired4,Tired5,Tired6,Power1,Power2,Power3,Power4,Power5,Power6,NewGas,TopGas
ATH1,7,9,0,15,11,15,31,56,55,58,64,78,30,33,42,34,51,51,15,15
ATH2,43,66,79,52,42,37,90,117,155,128,94,84,101,120,156,133,114,90,52,37
ATH3,38,58,38,38,39,35,81,81,83,122,102,102,91,94,92,136,139,136,38,35
ATH4,59,67,55,42,50,51,31,45,37,31,47,40,46,37,19,21,24,19,42,51
ATH5,17,18,24,25,26,29,19,29,31,18,21,22,53,71,42,44,48,46,25,29
ATH6,12,20,14,0,8,5,23,58,48,49,54,45,105,96,79,93,86,62,0,5
ATH7,45,59,56,43,43,40,85,78,78,84,84,70,85,63,76,67,67,63,43,40
ATH8,32,44,37,28,28,57,43,38,40,35,27,44,18,16,19,17,14,19,28,57
ATH9,27,23,17,52,42,31,47,45,48,79,49,52,73,73,57,60,64,61,52,31
ATH10,20,36,29,32,19,27,39,19,51,32,42,52,66,69,67,50,62,76,32,27
ATH11,2,2,1,2,0,3,132,77,65,93,110,83,151,121,115,158,140,143,2,3
ATH12,6,9,12,14,14,14,29,40,56,43,35,43,71,47,63,51,35,68,14,14
ATH13,57,65,97,70,62,37,104,45,102,67,63,51,52,44,30,61,51,48,70,37
ATH14,13,14,11,10,14,13,58,69,55,39,66,47,56,65,53,47,59,60,10,13
ATH15,63,54,51,35,61,53,66,69,60,71,86,63,55,62,47,76,72,50,35,53
ATH16,49,34,29,37,25,30,63,64,68,66,67,75,50,51,59,50,56,72,37,30
ATH17,38,24,17,22,27,27,78,70,56,92,72,57,130,80,84,103,92,92,22,27
ATH18,21,15,12,11,8,13,74,62,58,56,50,59,68,73,78,72,66,80,11,13
ATH19,23,15,12,19,10,8,27,27,17,25,19,20,28,28,27,24,26,30,19,8
ATH20,27,34,21,28,26,31,94,94,88,85,82,79,113,105,107,95,93,89,28,31
ATH21,44,55,42,38,44,29,32,31,24,33,18,28,34,39,36,43,41,45,38,29
ATH22,54,63,37,56,61,45,34,55,42,43,34,30,21,25,17,19,21,10,56,45
ATH23,36,48,60,43,40,38,40,62,59,39,39,40,50,76,77,50,58,53,43,38
ATH24,28,17,27,16,28,29,38,29,38,14,34,44,75,49,45,51,41,44,16,29
ATH25,66,13,34,30,43,45,38,40,37,58,49,21,29,30,30,47,26,22,30,45
ATH26,9,22,23,25,24,14,28,42,45,53,32,29,49,60,55,63,46,38,25,14
ATH27,14,14,19,16,30,14,28,29,35,28,34,23,28,35,32,33,31,24,16,14
